2Simulación,Caudal (m³/s)
1,1.806294
2,1.814013
3,1.815953
4,1.810145
5,1.815953
6,1.815953
7,1.815953
8,1.814013
9,1.812077
10,1.815953
11,1.806294
12,1.810145
13,1.810145
14,1.821798
15,1.815953
16,1.812077
17,1.817897
18,1.808217
19,1.808217
20,1.810145
21,1.814013
22,1.808217
23,1.815953
24,1.817897
25,1.812077
26,1.814013
27,1.806294
28,1.808217
29,1.808217
30,1.812077
31,1.817897
32,1.815953
33,1.814013
34,1.819846
35,1.812077
36,1.814013
37,1.812077
38,1.808217
39,1.819846
40,1.812077
41,1.815953
42,1.815953
43,1.810145
44,1.817897
45,1.817897
46,1.814013
47,1.817897
48,1.817897
49,1.812077
50,1.810145
51,1.821798
52,1.817897
53,1.819846
54,1.815953
55,1.814013
56,1.825716
57,1.810145
58,1.810145
59,1.812077
60,1.815953
61,1.821798
62,1.817897
63,1.810145
64,1.808217
65,1.819846
66,1.815953
67,1.814013
68,1.810145
69,1.810145
70,1.815953
71,1.808217
72,1.810145
73,1.808217
74,1.823755
75,1.819846
76,1.815953
77,1.814013
78,1.812077
79,1.806294
80,1.808217
81,1.817897
82,1.806294
83,1.804374
84,1.808217
85,1.819846
86,1.800547
87,1.819846
88,1.817897
89,1.819846
90,1.808217
91,1.823755
92,1.815953
93,1.821798
94,1.814013
95,1.806294
96,1.815953
97,1.810145
98,1.815953
99,1.819846
100,1.812077
101,1.819846
102,1.814013
103,1.814013
104,1.808217
105,1.814013
106,1.806294
107,1.810145
108,1.819846
109,1.810145
110,1.812077
111,1.821798
112,1.810145
113,1.812077
114,1.808217
115,1.814013
116,1.817897
117,1.817897
118,1.819846
119,1.814013
120,1.812077
121,1.814013
122,1.815953
123,1.819846
124,1.817897
125,1.808217
126,1.812077
127,1.806294
128,1.819846
129,1.810145
130,1.815953
131,1.802459
132,1.814013
133,1.814013
134,1.810145
135,1.815953
136,1.804374
137,1.815953
138,1.812077
139,1.808217
140,1.808217
141,1.815953
142,1.814013
143,1.814013
144,1.817897
145,1.815953
146,1.814013
147,1.812077
148,1.819846
149,1.823755
150,1.806294
151,1.815953
152,1.819846
153,1.814013
154,1.819846
155,1.815953
156,1.814013
157,1.817897
158,1.814013
